1:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 1, 'sor szama': 1}
27:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 7, 'sor szama': 2}
28:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 8, 'sor szama': 2}
29:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 9, 'sor szama': 2}
30:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 10, 'sor szama': 2}
31:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 11, 'sor szama': 2}
32:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 12, 'sor szama': 2}
33:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 13, 'sor szama': 2}
34:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 14, 'sor szama': 2}
35:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 15, 'sor szama': 2}
36:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 16, 'sor szama': 2}
37:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 17, 'sor szama': 2}
38:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 18, 'sor szama': 2}
39:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 19, 'sor szama': 2}
40:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 20, 'sor szama': 2}
41:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 1, 'sor szama': 3}
42:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 2, 'sor szama': 3}
43:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 3, 'sor szama': 3}
44:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 4, 'sor szama': 3}
45:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 5, 'sor szama': 3}
46:{'ar': 5000, 'foglat': 'szabad', 'ar kategoria': 1, 'szek szama': 6, 'sor szama': 3}
47:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 7, 'sor szama': 3}
48:{'ar': 5000, 'foglat': 'szabad', 'ar kategoria': 1, 'szek szama': 8, 'sor szama': 3}
49:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 9, 'sor szama': 3}
50:{'ar': 5000, 'foglat': 'szabad', 'ar kategoria': 1, 'szek szama': 10, 'sor szama': 3}
51:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 11, 'sor szama': 3}
52:{'ar': 5000, 'foglat': 'szabad', 'ar kategoria': 1, 'szek szama': 12, 'sor szama': 3}
53:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 13, 'sor szama': 3}
54:{'ar': 5000, 'foglat': 'szabad', 'ar kategoria': 1, 'szek szama': 14, 'sor szama': 3}
55:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 15, 'sor szama': 3}
56:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 16, 'sor szama': 3}
57:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 17, 'sor szama': 3}
58:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 18, 'sor szama': 3}
59:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 19, 'sor szama': 3}
60:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 20, 'sor szama': 3}
61:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 1, 'sor szama': 4}
62:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 2, 'sor szama': 4}
63:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 3, 'sor szama': 4}
64:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 4, 'sor szama': 4}
65:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 5, 'sor szama': 4}
66:{'ar': 5000, 'foglat': 'szabad', 'ar kategoria': 1, 'szek szama': 6, 'sor szama': 4}
67:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 7, 'sor szama': 4}
68:{'ar': 5000, 'foglat': 'szabad', 'ar kategoria': 1, 'szek szama': 8, 'sor szama': 4}
69:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 9, 'sor szama': 4}
70:{'ar': 5000, 'foglat': 'szabad', 'ar kategoria': 1, 'szek szama': 10, 'sor szama': 4}
71:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 11, 'sor szama': 4}
72:{'ar': 5000, 'foglat': 'szabad', 'ar kategoria': 1, 'szek szama': 12, 'sor szama': 4}
73:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 13, 'sor szama': 4}
74:{'ar': 5000, 'foglat': 'szabad', 'ar kategoria': 1, 'szek szama': 14, 'sor szama': 4}
75:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 15, 'sor szama': 4}
76:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 16, 'sor szama': 4}
77:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 17, 'sor szama': 4}
78:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 18, 'sor szama': 4}
79:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 19, 'sor szama': 4}
80:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 20, 'sor szama': 4}
81:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 1, 'sor szama': 5}
82:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 2, 'sor szama': 5}
83:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 3, 'sor szama': 5}
84:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 4, 'sor szama': 5}
85:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 5, 'sor szama': 5}
86:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 6, 'sor szama': 5}
87:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 7, 'sor szama': 5}
88:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 8, 'sor szama': 5}
89:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 9, 'sor szama': 5}
90:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 10, 'sor szama': 5}
91:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 11, 'sor szama': 5}
92:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 12, 'sor szama': 5}
93:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 13, 'sor szama': 5}
94:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 14, 'sor szama': 5}
95:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 15, 'sor szama': 5}
96:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 16, 'sor szama': 5}
97:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 17, 'sor szama': 5}
98:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 18, 'sor szama': 5}
99:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 19, 'sor szama': 5}
100:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 20, 'sor szama': 5}
101:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 1, 'sor szama': 6}
102:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 2, 'sor szama': 6}
103:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 3, 'sor szama': 6}
104:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 4, 'sor szama': 6}
105:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 5, 'sor szama': 6}
106:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 6, 'sor szama': 6}
107:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 7, 'sor szama': 6}
108:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 8, 'sor szama': 6}
109:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 9, 'sor szama': 6}
110:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 10, 'sor szama': 6}
111:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 11, 'sor szama': 6}
112:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 12, 'sor szama': 6}
113:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 13, 'sor szama': 6}
114:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 14, 'sor szama': 6}
115:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 15, 'sor szama': 6}
116:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 16, 'sor szama': 6}
117:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 17, 'sor szama': 6}
118:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 18, 'sor szama': 6}
119:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 19, 'sor szama': 6}
120:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 20, 'sor szama': 6}
121:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 1, 'sor szama': 7}
122:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 2, 'sor szama': 7}
123:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 3, 'sor szama': 7}
124:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 4, 'sor szama': 7}
125:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 5, 'sor szama': 7}
126:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 6, 'sor szama': 7}
127:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 7, 'sor szama': 7}
128:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 8, 'sor szama': 7}
129:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 9, 'sor szama': 7}
130:{'ar': 5000, 'foglat': 'szabad', 'ar kategoria': 1, 'szek szama': 10, 'sor szama': 7}
131:{'ar': 5000, 'foglat': 'szabad', 'ar kategoria': 1, 'szek szama': 11, 'sor szama': 7}
132:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 12, 'sor szama': 7}
133:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 13, 'sor szama': 7}
134:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 14, 'sor szama': 7}
135:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 15, 'sor szama': 7}
136:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 16, 'sor szama': 7}
137:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 17, 'sor szama': 7}
138:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 18, 'sor szama': 7}
139:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 19, 'sor szama': 7}
140:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 20, 'sor szama': 7}
141:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 1, 'sor szama': 8}
142:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 2, 'sor szama': 8}
143:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 3, 'sor szama': 8}
144:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 4, 'sor szama': 8}
145:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 5, 'sor szama': 8}
146:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 6, 'sor szama': 8}
147:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 7, 'sor szama': 8}
148:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 8, 'sor szama': 8}
149:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 9, 'sor szama': 8}
150:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 10, 'sor szama': 8}
151:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 11, 'sor szama': 8}
152:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 12, 'sor szama': 8}
153:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 13, 'sor szama': 8}
154:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 14, 'sor szama': 8}
155:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 15, 'sor szama': 8}
156:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 16, 'sor szama': 8}
157:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 17, 'sor szama': 8}
158:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 18, 'sor szama': 8}
159:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 19, 'sor szama': 8}
160:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 20, 'sor szama': 8}
161:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 1, 'sor szama': 9}
162:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 2, 'sor szama': 9}
163:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 3, 'sor szama': 9}
164:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 4, 'sor szama': 9}
165:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 5, 'sor szama': 9}
166:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 6, 'sor szama': 9}
167:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 7, 'sor szama': 9}
168:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 8, 'sor szama': 9}
169:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 9, 'sor szama': 9}
170:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 10, 'sor szama': 9}
171:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 11, 'sor szama': 9}
172:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 12, 'sor szama': 9}
173:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 13, 'sor szama': 9}
174:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 14, 'sor szama': 9}
175:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 15, 'sor szama': 9}
176:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 16, 'sor szama': 9}
177:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 17, 'sor szama': 9}
178:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 18, 'sor szama': 9}
179:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 19, 'sor szama': 9}
180:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 20, 'sor szama': 9}
181:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 1, 'sor szama': 10}
182:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 2, 'sor szama': 10}
183:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 3, 'sor szama': 10}
184:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 4, 'sor szama': 10}
185:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 5, 'sor szama': 10}
186:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 6, 'sor szama': 10}
187:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 7, 'sor szama': 10}
188:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 8, 'sor szama': 10}
189:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 9, 'sor szama': 10}
190:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 10, 'sor szama': 10}
191:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 11, 'sor szama': 10}
192:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 12, 'sor szama': 10}
193:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 13, 'sor szama': 10}
194:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 14, 'sor szama': 10}
195:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 15, 'sor szama': 10}
196:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 16, 'sor szama': 10}
197:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 17, 'sor szama': 10}
198:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 18, 'sor szama': 10}
199:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 19, 'sor szama': 10}
200:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 20, 'sor szama': 10}
201:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 1, 'sor szama': 11}
202:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 2, 'sor szama': 11}
203:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 3, 'sor szama': 11}
204:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 4, 'sor szama': 11}
205:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 5, 'sor szama': 11}
206:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 6, 'sor szama': 11}
207:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 7, 'sor szama': 11}
208:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 8, 'sor szama': 11}
209:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 9, 'sor szama': 11}
210:{'ar': 3000, 'foglat': 'foglalt', 'ar kategoria': 3, 'szek szama': 10, 'sor szama': 11}
211:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 11, 'sor szama': 11}
212:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 12, 'sor szama': 11}
213:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 13, 'sor szama': 11}
214:{'ar': 3000, 'foglat': 'szabad', 'ar kategoria': 3, 'szek szama': 14, 'sor szama': 11}
215:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 15, 'sor szama': 11}
216:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 16, 'sor szama': 11}
217:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 17, 'sor szama': 11}
218:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 18, 'sor szama': 11}
219:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 19, 'sor szama': 11}
220:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 20, 'sor szama': 11}
221:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 1, 'sor szama': 12}
222:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 2, 'sor szama': 12}
223:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 3, 'sor szama': 12}
224:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 4, 'sor szama': 12}
225:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 5, 'sor szama': 12}
226:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 6, 'sor szama': 12}
227:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 7, 'sor szama': 12}
228:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 8, 'sor szama': 12}
229:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 9, 'sor szama': 12}
230:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 10, 'sor szama': 12}
231:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 11, 'sor szama': 12}
232:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 12, 'sor szama': 12}
233:{'ar': 2000, 'foglat': 'foglalt', 'ar kategoria': 4, 'szek szama': 13, 'sor szama': 12}
234:{'ar': 2000, 'foglat': 'szabad', 'ar kategoria': 4, 'szek szama': 14, 'sor szama': 12}
235:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 15, 'sor szama': 12}
236:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 16, 'sor szama': 12}
237:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 17, 'sor szama': 12}
238:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 18, 'sor szama': 12}
239:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 19, 'sor szama': 12}
240:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 20, 'sor szama': 12}
241:{'ar': 1500, 'foglat': 'szabad', 'ar kategoria': 5, 'szek szama': 1, 'sor szama': 13}
242:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 2, 'sor szama': 13}
243:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 3, 'sor szama': 13}
244:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 4, 'sor szama': 13}
245:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 5, 'sor szama': 13}
246:{'ar': 1500, 'foglat': 'foglalt', 'ar kategoria': 5, 'szek szama': 6, 'sor szama': 13}
